id,cliente_id,tipo,status,data_solicitacao,data_emissao,validade_ate,url_portal,arquivo_storage_key,observacoes,criado_em,atualizado_em,criado_por_id
3,2,ELEITORAL_TSE,PENDENTE,2025-12-06 12:58:35.716345-03:00,,,https://www.tse.jus.br/servicos-eleitorais/autoatendimento-eleitoral#/certidoes-eleitor,,,2025-12-06 12:58:35.716348-03:00,2025-12-06 12:58:35.716350-03:00,2
4,2,FEDERAL_TRF1,PENDENTE,2025-12-06 12:58:35.716352-03:00,,,https://sistemas.trf1.jus.br/certidao/#/solicitacao,,,2025-12-06 12:58:35.716355-03:00,2025-12-06 12:58:35.716357-03:00,2
7,1355,ELEITORAL_TSE,EMITIDA,2025-12-06 13:53:23.753261-03:00,2025-12-06 10:28:00-03:00,2026-02-06,https://www.tse.jus.br/servicos-eleitorais/autoatendimento-eleitoral#/certidoes-eleitor,certidoes/1355/7_618cd233c820445489614426fdc8f1da.pdf,,2025-12-06 13:53:23.753273-03:00,2025-12-06 14:36:45.063562-03:00,2
9,5,ESTADUAL_TJPI,PENDENTE,2025-12-09 10:43:05.054341-03:00,,,,,,2025-12-09 10:43:05.054363-03:00,2025-12-09 10:43:05.054368-03:00,2
10,5,MILITAR_STM,PENDENTE,2025-12-09 10:43:05.054554-03:00,,,,,,2025-12-09 10:43:05.054562-03:00,2025-12-09 10:43:05.054566-03:00,2
11,5,ELEITORAL_TSE,PENDENTE,2025-12-09 10:43:05.054649-03:00,,,,,,2025-12-09 10:43:05.054655-03:00,2025-12-09 10:43:05.054659-03:00,2
13,6,ESTADUAL_TJPI,PENDENTE,2025-12-09 10:43:38.971082-03:00,,,,,,2025-12-09 10:43:38.971121-03:00,2025-12-09 10:43:38.971129-03:00,2
14,6,MILITAR_STM,PENDENTE,2025-12-09 10:43:38.971586-03:00,,,,,,2025-12-09 10:43:38.971609-03:00,2025-12-09 10:43:38.971618-03:00,2
8,1355,FEDERAL_TRF1,EM_PROCESSO,2025-12-06 13:53:23.753414-03:00,,,https://sistemas.trf1.jus.br/certidao/#/solicitacao,,,2025-12-06 13:53:23.753422-03:00,2025-12-09 10:44:15.719331-03:00,2
6,1355,MILITAR_STM,EM_PROCESSO,2025-12-06 13:53:23.753233-03:00,,,https://www.stm.jus.br/servicos-stm/certidao-negativa/emitir-certidao-negativa,,,2025-12-06 13:53:23.753241-03:00,2025-12-09 10:52:06.018479-03:00,2
16,6,FEDERAL_TRF1,EM_PROCESSO,2025-12-09 10:43:38.971899-03:00,,,,,,2025-12-09 10:43:38.971909-03:00,2025-12-09 10:59:31.393257-03:00,2
15,6,ELEITORAL_TSE,EM_PROCESSO,2025-12-09 10:43:38.971765-03:00,,,,,,2025-12-09 10:43:38.971776-03:00,2025-12-09 11:16:25.055808-03:00,2
5,1355,ESTADUAL_TJPI,EM_PROCESSO,2025-12-06 13:53:23.753101-03:00,,,https://www.tjpi.jus.br/themisconsulta/certidao,,,2025-12-06 13:53:23.753204-03:00,2025-12-09 11:28:34.522203-03:00,2
1,2,ESTADUAL_TJPI,EM_PROCESSO,2025-12-06 12:58:35.716325-03:00,,,https://www.tjpi.jus.br/themisconsulta/certidao,,,2025-12-06 12:58:35.716331-03:00,2025-12-09 14:11:36.290213-03:00,2
2,2,MILITAR_STM,EM_PROCESSO,2025-12-06 12:58:35.716338-03:00,,,https://www.stm.jus.br/servicos-stm/certidao-negativa/emitir-certidao-negativa,,,2025-12-06 12:58:35.716340-03:00,2025-12-09 14:26:36.318892-03:00,2
17,8,ESTADUAL_TJPI,PENDENTE,2025-12-09 14:28:35.715511-03:00,,,,,,2025-12-09 14:28:35.715574-03:00,2025-12-09 14:28:35.715580-03:00,2
18,8,MILITAR_STM,PENDENTE,2025-12-09 14:28:35.715934-03:00,,,,,,2025-12-09 14:28:35.715944-03:00,2025-12-09 14:28:35.715948-03:00,2
19,8,ELEITORAL_TSE,PENDENTE,2025-12-09 14:28:35.716021-03:00,,,,,,2025-12-09 14:28:35.716027-03:00,2025-12-09 14:28:35.716030-03:00,2
20,8,FEDERAL_TRF1,EM_PROCESSO,2025-12-09 14:28:35.716075-03:00,,,,,,2025-12-09 14:28:35.716081-03:00,2025-12-09 14:29:05.234143-03:00,2
21,4,ESTADUAL_TJPI,PENDENTE,2025-12-09 17:36:39.791986-03:00,,,,,,2025-12-09 14:36:39.788012-03:00,2025-12-09 17:36:39.791996-03:00,2
22,4,MILITAR_STM,EM_PROCESSO,2025-12-09 17:36:39.792000-03:00,,,,,,2025-12-09 14:36:39.788301-03:00,2025-12-10 18:02:00.763950-03:00,2
24,4,FEDERAL_TRF1,EMITIDA,2025-12-09 17:36:39.792014-03:00,2025-12-10 15:20:16.450787-03:00,2026-01-09,,certidoes/cliente_4/certidao_24.pdf,,2025-12-09 14:36:39.788526-03:00,2025-12-10 15:20:16.450907-03:00,2
23,4,ELEITORAL_TSE,EMITIDA,2025-12-09 17:36:39.792008-03:00,2025-12-10 15:45:39.671224-03:00,2026-01-09,,certidoes/cliente_4/certidao_23.pdf,,2025-12-09 14:36:39.788429-03:00,2025-12-10 15:45:39.671330-03:00,2
12,5,FEDERAL_TRF1,EMITIDA,2025-12-09 10:43:05.054722-03:00,2025-12-10 15:46:27.062318-03:00,2026-01-09,,certidoes/cliente_5/certidao_12.pdf,,2025-12-09 10:43:05.054727-03:00,2025-12-10 15:46:27.062363-03:00,2
