id,nome,descricao,criado_em,atualizado_em,logo_url
1,Taurus,,2025-10-21 10:47:01.148576,2026-02-17 20:51:10.187029,produtos/marcas/logos/553bca252bc84aa4b64c8f42b75e5242.png
2,Browning,,2025-10-21 16:24:58.863014,2026-02-17 20:51:10.187051,produtos/marcas/logos/b722c055a2484ac3b0fe2b3b1d078baf.png
3,CBC,,2025-10-22 11:06:14.018020,2026-02-17 20:51:10.187057,produtos/marcas/logos/8b6d74654ba34e23b71770613600a52d.png
4,Boito,,2025-10-24 10:09:17.680464,2026-02-17 20:51:10.187060,produtos/marcas/logos/591ac17745f5423d99ed648b635d2b3b.png
5,Fire Eagle,,2025-10-28 14:44:08.343744,2026-02-17 20:51:10.187064,produtos/marcas/logos/446b1bd6046743f59a7ab34740fed22b.png
6,Richter Táticos,,2025-10-30 19:41:42.324498,2026-02-17 20:51:10.187066,produtos/marcas/logos/5eebf4d7df504167911b7a2e42c60220.png
7,Springfield,,2025-11-03 20:07:23.983466,2026-02-17 20:51:10.187069,produtos/marcas/logos/c9d89c63ff1b4be7adbcb2742f1a8c6c.png
8,Arex,"Fabricante de armas de fogo da Eslovênia, conhecida por suas pistolas de alta qualidade e design moderno, como a linha Delta.",2025-10-16 14:32:32.683179,2026-02-17 20:51:10.187072,produtos/marcas/logos/6da9d3dc64d440478e77ef091df342d7.png
9,Rossi,"Tradicional marca brasileira, atualmente parte do grupo Taurus, famosa por seus revólveres e pelas clássicas carabinas ""Puma"".",2025-10-16 16:28:30.550156,2026-02-17 20:51:10.187074,produtos/marcas/logos/f9a494b3d9cc4ff491387c28967994df.png
11,Hatsan,"Empresa turca, uma das líderes mundiais na fabricação de carabinas de pressão e espingardas, conhecida pela potência e robustez",2025-10-16 16:28:41.567933,2026-02-17 20:51:10.187077,produtos/marcas/logos/e151b7e58dfc4e228a9b413b84069cc2.png
12,MEC-GAR,"Fabricante italiana, líder mundial na produção de carregadores de alta qualidade para as principais marcas de pistolas do mercado.",2025-10-16 16:40:11.857324,2026-02-17 20:51:10.187079,produtos/marcas/logos/8581cb8f8f0848f491d9af9ee2f30777.png
13,CZ,,2025-11-04 16:00:37.760176,2026-02-17 20:51:10.187082,produtos/marcas/logos/cfb4602e3a25403fb22eb3a593c70542.png
15,Fiocchi,,2025-11-07 09:04:43.464048,2026-02-17 20:51:10.187085,produtos/marcas/logos/6ddadcc18320468490a377b91e297524.png
16,CCI,,2025-11-07 09:04:54.414417,2026-02-17 20:51:10.187087,produtos/marcas/logos/5a171b30e6644363866b7df5edbee4b1.png
17,Federal,,2025-11-07 09:05:02.995225,2026-02-17 20:51:10.187090,produtos/marcas/logos/f8ad2ef0dc214c448c08bf2bab13eca8.png
18,Remington,,2025-11-07 09:05:33.450789,2026-02-17 20:51:10.187093,produtos/marcas/logos/9f93ab0afe08464389c11fa3d0efd7ba.png
19,Glock,,2025-11-25 13:40:02.432520,2026-02-17 20:51:10.187095,produtos/marcas/logos/b2a523b9c98247ddba90daf67e068bde.png
20,Revint,,2026-02-12 13:49:36.871828,2026-02-17 20:51:10.187098,produtos/marcas/logos/936a56f9222647b1831261d7a717cbd9.png
