tabela,linhas_origem,inseridos,ignorados,erros,chave_usada
tipo_produto,9,9,0,0,pk:id
marca_produto,13,13,0,0,pk:id
calibre_produto,29,29,0,0,pk:id
categoria_produto,9,9,0,0,pk:id
funcionamento_produto,3,3,0,0,pk:id
clientes,886,0,885,1,business:documento
clientes_enderecos,513,0,0,513,pk:id
clientes_contatos,1774,0,0,1774,pk:id
produtos,215,189,26,26,business:codigo
documentos,2,0,0,2,pk:id
vendas,1,0,0,1,pk:id
itens_venda,0,0,0,0,pk:id
pedido_compra,1,1,0,0,pk:id
item_pedido,3,3,0,0,pk:id
notificacao,4,0,0,4,pk:id
comunicacoes,2,0,0,2,pk:id
alembic_version,1,0,1,0,pk:version_num
armas,0,0,0,0,pk:id
configuracoes,3,0,0,3,pk:id
processos,1,1,0,0,pk:id
produto_historico,5,5,0,0,pk:id
taxas,13,13,0,0,pk:id
users,1,1,0,0,pk:id
